cycle,step,n,sum_w
P,C1 in DEMO,15560,322324171.992904
P,C2 age>=20,9232,240449493.032345
P,C3 MEC examined,8544,240449493.032345
P,C4 has LBXGH,8081,230229466.614422
P,C5 label weight>0,8081,230229466.614422
P,C6 not pregnant,8005,228110952.844212
P,C7 not diagnosed (DIQ010),6743,200952110.143103
P,C8 no diabetes pills,6644,198823720.826791
L,C1 in DEMO,11933,279992596.0
L,C2 age>=20,7809,245061169.0
L,C3 MEC examined,6064,245061169.0
L,C4 has LBXGH,5767,244126236.3459663
L,C5 label weight>0,5767,244126236.3459663
L,C6 not pregnant,5730,242014922.49213767
L,C7 not diagnosed (DIQ010),4911,213561396.64710522
L,C8 no diabetes pills,4826,210944160.78280807
