cycle,key,name,path,status,bytes,sha256
P,DEMO,P_DEMO,D:\NCKH\1\data\raw\P_DEMO.xpt,cached,3614720,2e46c6c26bf77cd8989f64011ace12cbf42c0f3e03414eb59acc5328c8f87913
P,GHB,P_GHB,D:\NCKH\1\data\raw\P_GHB.xpt,cached,167600,dac9e423f56041c2ec46486cb16be16d3347e0a81a575985882ffad5a60e1195
P,DIQ,P_DIQ,D:\NCKH\1\data\raw\P_DIQ.xpt,cached,3361520,79153f799fc2171792771c4aa250029c62807f14915f1f81405b03233b1e5ae3
P,BMX,P_BMX,D:\NCKH\1\data\raw\P_BMX.xpt,cached,2520640,7038d0da3169420a4a3cbaec09ac586a701b38e1c7b925431b60e13ac24fed66
P,BPXO,P_BPXO,D:\NCKH\1\data\raw\P_BPXO.xpt,cached,1039840,5edbcb81e99fe8dad38deb8b642570278b200c525d88ffa29ae3ceb4dd38bde4
P,BPQ,P_BPQ,D:\NCKH\1\data\raw\P_BPQ.xpt,cached,899520,88af3557dd185cee2533c94c5302b361e89a54eb50754704f35d4e8120868c02
P,MCQ,P_MCQ,D:\NCKH\1\data\raw\P_MCQ.xpt,cached,7562560,1de8e4e184ed375fddc053dbb5b82db13ee55e4d4d0ae12da9e407537230125c
P,SMQ,P_SMQ,D:\NCKH\1\data\raw\P_SMQ.xpt,cached,1428560,29b7f6c59ab570c042c866312f0eb4329009e85fadbda6f9427a8bf31ecb3a3f
P,PAQ,P_PAQ,D:\NCKH\1\data\raw\P_PAQ.xpt,cached,1321440,d0e13cebf96181949e983ab58d14c58689e801e8711d366d2b5daab3c7b9ee65
P,RHQ,P_RHQ,D:\NCKH\1\data\raw\P_RHQ.xpt,cached,1365600,1344cd314b9144d88ae2cdb0aaacf09fa29a996ac00ad3e7c861c3d64b7bb116
L,DEMO,DEMO_L,D:\NCKH\1\data\raw\DEMO_L.xpt,cached,2582160,ca4374a158b493b8b0163e1388da21d57a18d1b9cecff2aa4e2fa2bec494fe23
L,GHB,GHB_L,D:\NCKH\1\data\raw\GHB_L.xpt,cached,174000,67aee0353160e2392dc0a33bece99b90764a630c76d82415ac4639105ad9dd03
L,DIQ,DIQ_L,D:\NCKH\1\data\raw\DIQ_L.xpt,cached,847600,9535a023673ae869afae19d842d8679e06f6a464606ac15900686b41ef05090f
L,BMX,BMX_L,D:\NCKH\1\data\raw\BMX_L.xpt,cached,1563200,44440c416d9ad709e8b1708a5975378ab4d5b18edc39eb5015c2ae7186500170
L,BPXO,BPXO_L,D:\NCKH\1\data\raw\BPXO_L.xpt,cached,696720,189aa9bed689d2c69cf8d780b01de85073276fea5694dd52cdf696229f9054a6
L,BPQ,BPQ_L,D:\NCKH\1\data\raw\BPQ_L.xpt,cached,409680,0acde3af0526c375942fe0735e3bf69a0422bcbc606f98a478209d2f47baa4b5
L,MCQ,MCQ_L,D:\NCKH\1\data\raw\MCQ_L.xpt,cached,3294000,0889bb3eaa5adedf1a11c4af2d4776fc4c4c3cfdeea24fcedb77c4636b478f61
L,SMQ,SMQ_L,D:\NCKH\1\data\raw\SMQ_L.xpt,cached,651120,abbefebfa5585b1e19c079fa14be20c113a4649318070197214b258d05b93c50
L,PAQ,PAQ_L,D:\NCKH\1\data\raw\PAQ_L.xpt,cached,409520,de34acfed4523f10f52bea06e64ed33c8db973cb38d3539eeceb2b68039248c8
L,RHQ,RHQ_L,D:\NCKH\1\data\raw\RHQ_L.xpt,cached,410000,ed406dacc243094f1806a6a7de6d05b8a9830e9785daf1df16c28695dc197193
