cycle,block,var,present,pct_missing
P,core,RIDAGEYR,True,0.0
P,core,RIAGENDR,True,0.0
P,core,RIDRETH3,True,0.0
P,B1,BMXWT,True,1.1739915713425646
P,B1,BMXHT,True,1.3395544852498493
P,B1,BMXBMI,True,1.4148103552077063
P,B1,BMXWAIST,True,4.13907284768212
P,B2,BPXOSY1,True,9.602649006622517
P,B2,BPXOSY2,True,9.708007224563515
P,B2,BPXOSY3,True,9.858518964479229
P,B2,BPXODI1,True,9.602649006622517
P,B2,BPXODI2,True,9.708007224563515
P,B2,BPXODI3,True,9.858518964479229
P,B3,BPQ020,True,0.09030704394942805
P,B3,MCQ300C,True,1.2944009632751354
P,B3,RHQ162,True,59.85851896447924
P,B4,SMQ020,True,0.030102347983142687
P,B4,SMQ040,True,59.19626730885009
P,B4,PAD680,True,0.7375075255869958
P,B4,PAQ650,True,0.0
P,B4,PAQ665,True,0.030102347983142687
P,B4,PAD790Q,False,
P,B4,PAD810Q,False,
P,B4,INDFMPIR,True,13.726670680313063
P,B4,DMDEDUC2,True,0.13546056592414207
L,core,RIDAGEYR,True,0.0
L,core,RIAGENDR,True,0.0
L,core,RIDRETH3,True,0.0
L,B1,BMXWT,True,1.0360547036883547
L,B1,BMXHT,True,0.9117281392457521
L,B1,BMXBMI,True,1.2225445503522585
L,B1,BMXWAIST,True,3.978450062163282
L,B2,BPXOSY1,True,3.2117695814338996
L,B2,BPXOSY2,True,3.336096145876502
L,B2,BPXOSY3,True,3.543307086614173
L,B2,BPXODI1,True,3.2117695814338996
L,B2,BPXODI2,True,3.336096145876502
L,B2,BPXODI3,True,3.543307086614173
L,B3,BPQ020,True,0.06216328222130128
L,B3,MCQ300C,False,
L,B3,RHQ162,False,
L,B4,SMQ020,True,0.12432656444260257
L,B4,SMQ040,True,60.443431413178615
L,B4,PAD680,True,0.7045171985080813
L,B4,PAQ650,False,
L,B4,PAQ665,False,
L,B4,PAD790Q,True,0.5387484459179445
L,B4,PAD810Q,True,0.47658516369664317
L,B4,INDFMPIR,True,12.722751761292997
L,B4,DMDEDUC2,True,0.04144218814753419
