cycle,var,code,n
P,BPQ020,7,0
P,BPQ020,9,12
P,MCQ300C,7,2
P,MCQ300C,9,131
P,RHQ162,7,1
P,RHQ162,9,1
P,SMQ020,7,2
P,SMQ020,9,3
P,SMQ040,7,0
P,SMQ040,9,0
P,PAQ650,7,0
P,PAQ650,9,0
P,PAQ665,7,0
P,PAQ665,9,2
P,DMDEDUC2,7,2
P,DMDEDUC2,9,13
P,DIQ050,7,0
P,DIQ050,9,1
P,DIQ070,7,0
P,DIQ070,9,5
P,PAD680,7777,6
P,PAD680,9999,60
L,BPQ020,7,1
L,BPQ020,9,10
L,SMQ020,7,7
L,SMQ020,9,7
L,SMQ040,7,0
L,SMQ040,9,0
L,DMDEDUC2,7,0
L,DMDEDUC2,9,11
L,DIQ050,7,0
L,DIQ050,9,0
L,DIQ070,7,0
L,DIQ070,9,7
L,PAD680,7777,6
L,PAD680,9999,67
L,PAD790Q,7777,10
L,PAD790Q,9999,39
L,PAD810Q,7777,4
L,PAD810Q,9999,36
