cycle,group,level,n,events,prev_weighted
P,AGEGRP,20-44,2864,52,0.012184363107763536
P,AGEGRP,45-64,2350,116,0.03314873451936374
P,AGEGRP,65+,1430,69,0.03799440682944402
P,RIAGENDR,1.0,3171,108,0.021119254301488796
P,RIAGENDR,2.0,3473,129,0.026735640012597338
P,RIDRETH3,1.0,766,36,0.03579998397546645
P,RIDRETH3,2.0,693,30,0.029992212160918658
P,RIDRETH3,3.0,2379,46,0.016578891080624405
P,RIDRETH3,4.0,1686,79,0.043350632295441796
P,RIDRETH3,6.0,810,36,0.03970389842285375
P,RIDRETH3,7.0,310,10,0.03284034628122278
P,PIRGRP,<1.3,1584,58,0.029431145366266214
P,PIRGRP,1.3-3.5,2230,79,0.023624945590499876
P,PIRGRP,>3.5,1918,67,0.023239915385986507
P,PIRGRP,nan,912,33,0.020461935670080006
L,AGEGRP,20-44,1773,23,0.011661635688354965
L,AGEGRP,45-64,1600,49,0.029874962494096595
L,AGEGRP,65+,1453,56,0.03915682450576697
L,RIAGENDR,1.0,2147,67,0.02632176275387765
L,RIAGENDR,2.0,2679,61,0.019579246117273286
L,RIDRETH3,1.0,316,19,0.051854203316532614
L,RIDRETH3,2.0,482,9,0.014545734604288438
L,RIDRETH3,3.0,2938,64,0.01828648431616186
L,RIDRETH3,4.0,529,26,0.04414652262514689
L,RIDRETH3,6.0,269,7,0.026279803543287624
L,RIDRETH3,7.0,292,3,0.008292961572479515
L,PIRGRP,<1.3,871,23,0.024132983874204674
L,PIRGRP,1.3-3.5,1539,64,0.036358579704691134
L,PIRGRP,>3.5,1802,27,0.011494975334838021
L,PIRGRP,nan,614,14,0.02156271941880859
