group,level,n,events,LR-AUG_S0_skill,LR-AUG_S0_auc,LR-AUG_S1-5_skill,LR-PS_S0_skill,LR-PS_S0_auc,LR-PS_S1-5_skill
AGEGRP,20-44,1773,23,,,,,,
AGEGRP,65+,1453,56,0.009905858198976825,0.7052717434376091,0.006761898457192617,0.011394101976325288,0.7015818972687036,0.004590707721571286
AGEGRP,45-64,1600,49,0.03759573207294109,0.7516714706227522,0.02352179222992392,0.03629267864216834,0.749904791816665,0.023769876924614165
RIAGENDR,1.0,2147,67,0.046869615952495725,0.8116256098632229,0.03234988400418197,0.04467883360763392,0.8063238280547675,0.033280261012317555
RIAGENDR,2.0,2679,61,0.020004909378420366,0.8189826565894684,0.015830376926406563,0.02194933293586465,0.8154458100371191,0.015938832408707193
RIDRETH3,6.0,269,7,,,,,,
RIDRETH3,3.0,2938,64,0.02734106683154469,0.8229012982298303,0.02036538015611904,0.026759906250250376,0.8192815817917888,0.02054423618999419
RIDRETH3,1.0,316,19,,,,,,
RIDRETH3,4.0,529,26,,,,,,
RIDRETH3,7.0,292,3,,,,,,
RIDRETH3,2.0,482,9,,,,,,
PIRGRP,>3.5,1802,27,,,,,,
PIRGRP,1.3-3.5,1539,64,0.049954473439247304,0.8159089295952815,0.03350981131917945,0.047501795052773965,0.8113464269735152,0.03569259315729776
PIRGRP,<1.3,871,23,,,,,,
