model,scenario,skill,brier,prev,auc,citl,slope,oe,ici,logloss,nb_0.01,nb_0.02,nb_0.05,nb_0.1,sens,spec,ppv,npv,referral,skill_lo,brier_lo,prev_lo,auc_lo,citl_lo,slope_lo,oe_lo,ici_lo,logloss_lo,nb_0.01_lo,nb_0.02_lo,nb_0.05_lo,nb_0.1_lo,sens_lo,spec_lo,ppv_lo,npv_lo,referral_lo,skill_hi,brier_hi,prev_hi,auc_hi,citl_hi,slope_hi,oe_hi,ici_hi,logloss_hi,nb_0.01_hi,nb_0.02_hi,nb_0.05_hi,nb_0.1_hi,sens_hi,spec_hi,ppv_hi,npv_hi,referral_hi
LGB-AUG,S0,0.022368808832694764,0.021834914561683696,0.022856951185387477,0.8134293246574051,-0.02265142762232427,0.8778466669554644,0.9792908195341249,0.0057203893816106565,0.09476791341542595,0.016216010398612986,0.0127800790640227,0.004327877587829087,-1.2248336490975134e-05,0.8485743642388691,0.6621264792747514,0.05548852042689308,0.9946788989267134,0.34954658497577556,-0.0091572204280689,0.017564128156696633,0.018034748762094217,0.7639078071272419,-0.2249407179106573,0.6754592599090883,0.7972955305904526,0.00023732971437048778,0.07875348566437661,0.011294548212879042,0.008268892498506467,-5.26421144829807e-05,-0.0027394450969465954,0.7746113644484299,0.6329903770733368,0.04431169631327494,0.9919099897158611,0.3196224660983262,0.05389483809345843,0.02610570096667076,0.027679153608680736,0.8629508421875683,0.17963786266600876,1.0802340740018406,1.1612861084777972,0.011203449048850825,0.1107823411664753,0.02113747258434693,0.017291265629538935,0.008708397290141156,0.002714948423964645,0.9225373640293083,0.691262581476166,0.06666534454051123,0.9974478081375656,0.37947070385322496
LGB-AUG,S1,0.012494207622319009,0.022055458950720436,0.022856951185387477,0.7355838845504868,-0.059510669468813004,0.868359858613059,0.9450103349463378,0.00440246696124385,0.10113778418304842,0.01506214150164454,0.008694153877991634,0.0008058156603959884,-0.0004948718981294016,0.8208240605121931,0.5430605822714938,0.04032512595613012,0.9923413424934995,0.46525671124572515,-0.003853238024309553,0.017602215245880775,0.018034748762094217,0.6887452400240326,-0.27308084766078544,0.6535940778776506,0.7527236875926661,0.000566482891300759,0.08267946219202758,0.010797702222371499,0.005828759797009419,-0.0023888880150078006,-0.001602130601339759,0.7313613957537699,0.5189893518169105,0.034386249245715324,0.9872515607808278,0.4411890569129202,0.02884165326894757,0.026508702655560098,0.027679153608680736,0.7824225290769411,0.1540595087231594,1.0831256393484674,1.1372969823000094,0.008238451031186941,0.11959610617406925,0.01932658078091758,0.011559547958973848,0.004000519335799778,0.0006123868050809558,0.9102867252706164,0.567131812726077,0.04626400266654492,0.9974311242061712,0.4893243655785301
LGB-AUG,S2,0.020023228211604516,0.02188730195779152,0.022856951185387477,0.8105379208995784,-0.04665933232473575,0.8671729648789899,0.9578299319819393,0.0063727418183197855,0.09531328527656087,0.016048715323050192,0.012319879147852864,0.0030119515764698915,-9.427869168804424e-05,0.8369357515385943,0.6622230077528724,0.05478394463033612,0.99427309040744,0.34918623964201134,-0.006385149179276153,0.01762003090811538,0.018034748762094217,0.7646572015898975,-0.2541825180385364,0.698216265715817,0.7758118757643337,0.0010268200054823866,0.07976813172088233,0.011088010061037407,0.0077670377608571725,-0.0006077664731472241,-0.0023704428381141614,0.7426511613359381,0.6309104187730981,0.042019065783869436,0.9910107055027977,0.3173268120839877,0.04643160560248519,0.026154573007467662,0.027679153608680736,0.8564186402092594,0.1608638533890649,1.036129664042163,1.139847988199545,0.011718663631157184,0.1108584388322394,0.021009420585062978,0.016872720534848555,0.006631669626087007,0.002181885454738073,0.9312203417412506,0.6935355967326466,0.0675488234768028,0.9975354753120824,0.38104566720003497
LGB-AUG,S3,0.022811723568537,0.021825022277658184,0.022856951185387477,0.8150318302263263,-0.03039047492984886,0.9206294359502084,0.972194641110915,0.005916414162540418,0.09459251648568873,0.016312913481282873,0.012992406072053488,0.003937893336535428,-0.0001666202036960042,0.8587201652867411,0.6450312109308506,0.05355698458365446,0.9949026997935532,0.36648300968492664,-0.006475824272094647,0.01754999806775989,0.018034748762094217,0.7656753768447738,-0.231210756235924,0.7063493267402414,0.7920607845521392,0.0017565759537423887,0.07873230354997242,0.011579387572928555,0.00804985574072516,9.221773655237585e-05,-0.002755742177016221,0.7768934796369544,0.6138885752102007,0.040865970497689905,0.9919461830475836,0.33543278060613074,0.052099271409168646,0.02610004648755648,0.027679153608680736,0.8643882836078788,0.17042980637622626,1.1349095451601754,1.1523284976696908,0.010076252371338447,0.11045272942140504,0.02104643938963719,0.017934956403381816,0.007783568936518479,0.0024225017696242125,0.9405468509365278,0.6761738466515005,0.06624799866961902,0.9978592165395227,0.39753323876372254
LGB-AUG,S4,0.031176238591704153,0.021638204925132125,0.022856951185387477,0.8198305473455133,-0.10204629383748673,0.9686892214993562,0.909494116220966,0.004666906326356447,0.09359273320706273,0.016085785202611665,0.013333526268823285,0.004931352233741411,-0.0003698053798269797,0.890124749565753,0.6251583319180908,0.052624194115290894,0.9959056195853043,0.38661946832204147,-0.00028808193793388587,0.017440829531240338,0.018034748762094217,0.7703393676560184,-0.29877103761433077,0.7496591871709706,0.7431654407129561,-0.0009035878943127428,0.07846200418049457,0.011359378983094214,0.008445786946496475,0.0006890809287367367,-0.0028618972473497418,0.8163441864403259,0.5879110105137632,0.04109717460927214,0.9931698827105127,0.3491688517248629,0.0626405591213422,0.025835580319023912,0.027679153608680736,0.8693217270350082,0.09467844993935731,1.1877192558277418,1.0758227917289758,0.010237400547025637,0.10872346223363089,0.020812191422129117,0.018221265591150095,0.009173623538746085,0.0021222864876957823,0.9639053126911802,0.6624056533224184,0.06415121362130966,0.998641356460096,0.42407008491922005
LGB-AUG,S5,0.010467437251047595,0.022100725875807005,0.022856951185387477,0.7189691226557494,-0.0650621129767328,0.8454254014153144,0.9398600079000843,0.006124688440210167,0.10233885088582924,0.016056701222091102,0.007789640135791382,0.0004308364129103348,-0.00044315224175614726,0.7503952743921333,0.5591452087300268,0.03829113999907969,0.9896657988305256,0.4479299429825977,-0.0023203159951871635,0.01758335921824331,0.018034748762094217,0.6705015639356301,-0.27337867200418164,0.6280994864685527,0.7524831956232544,0.0008735099831119857,0.08376789437101101,0.011198082243800825,0.0046731163698544775,-0.001441631529283659,-0.0014364821683099957,0.6565027510249228,0.5306612857543976,0.03175381376211534,0.9842621304318957,0.41967985596822305,0.023255190497282356,0.0266180925333707,0.027679153608680736,0.7674366813758687,0.14325444605071608,1.062751316362076,1.1272368201769143,0.011375866897308348,0.12090980740064747,0.02091532020038138,0.010906163901728286,0.0023033043551043287,0.0005501776847977012,0.8442877977593437,0.587629131705656,0.044828466236044036,0.9950694672291556,0.47618002999697234
LGB-AUG,S6,0.03287920572242198,0.02160016998707314,0.022856951185387477,0.8252158576917852,-0.12653244574981284,1.0636114792433546,0.8883953658139054,0.004851259502069445,0.09311756141953427,0.01611896065602848,0.012853759763725905,0.004794358462894586,-0.00025931493633465225,0.8977246463067667,0.594220295309184,0.04920399104342446,0.995990052708307,0.41702406620723015,0.0056166419288034945,0.017409502840690993,0.018034748762094217,0.7777099111866319,-0.32036024427926035,0.8250108158185014,0.7271460418603363,0.0005572194457650614,0.07842329465303564,0.011321577799530571,0.007715874375675228,0.0008285005812029523,-0.0027936829097105313,0.8215274757603809,0.5584678270316988,0.03791053255332633,0.9930822616105724,0.381232945714297,0.06014176951604046,0.02579083713345529,0.027679153608680736,0.8727218041969385,0.06729535277963464,1.3022121426682078,1.0496446897674747,0.009145299558373829,0.1078118281860329,0.020916343512526386,0.01799164515177658,0.008760216344586218,0.002275053037041227,0.9739218168531526,0.6299727635866691,0.06049744953352259,0.9988978438060415,0.4528151867001633
LGB-AUG,S7,0.024900733466383995,0.021778365263182678,0.022856951185387477,0.8139447792943397,-0.02971649058265816,0.9017143463042013,0.9728186269265647,0.005428987916708926,0.09451062461067533,0.016141593296543272,0.012721348586408835,0.004165318430445458,0.000252860974516691,0.8525365234328314,0.6552605071766914,0.05468386230307932,0.9947633877004401,0.35634618476403535,-0.004651147194983874,0.017501104396576983,0.018034748762094217,0.7666614957691336,-0.2292760205128984,0.7020862780940116,0.7935933592833905,-0.0004494708002312263,0.07877101268518598,0.011330521145773851,0.008176858224272155,-0.00010526385220720105,-0.002449280617603056,0.7788779542798578,0.6240655120383202,0.043444863981938135,0.992003406115224,0.3245263835572617,0.05445261412775186,0.026055626129788373,0.027679153608680736,0.8612280628195459,0.16984303934758208,1.101342414514391,1.1520438945697389,0.01130744663364908,0.11025023653616468,0.020952665447312693,0.017265838948545515,0.008435900713098118,0.002955002566636438,0.9261950925858049,0.6864555023150626,0.06592286062422051,0.9975233692856563,0.388165985970809
LGB-PS,S0,0.017637014228751857,0.021940596880163293,0.022856951185387477,0.8068438764626693,-0.028500896230120466,0.8485404964432472,0.9740111805898006,0.006539290565628436,0.09576264792176063,0.01602910183987471,0.012911969560608468,0.0036858310138246234,0.00044619069008242085,0.8841733565982949,0.6339556252761199,0.053480260751464094,0.995744430858029,0.37788722357031806,-0.010413063643895413,0.017691024204112935,0.018034748762094217,0.7614722783190924,-0.2428770355294563,0.6701058884392846,0.7825618289823864,0.001946691224497069,0.08016911772763795,0.01108698894843286,0.008000176152698383,-0.0007118565513035795,-0.0027332841903276927,0.8015680410464815,0.6037833202590859,0.04068878838046599,0.9928066574000056,0.34766891799140204,0.045687092101399124,0.02619016955621365,0.027679153608680736,0.8522154746062462,0.18587524306921535,1.02697510444721,1.165460532197215,0.011131889906759803,0.11135617811588332,0.020971214731316558,0.017823762968518553,0.008083518578952826,0.0036256655704925344,0.9667786721501083,0.664127930293154,0.0662717331224622,0.9986822043160524,0.4081055291492341
LGB-PS,S1,-0.008570752181872532,0.022525934526505444,0.022856951185387477,0.7161625973535943,-0.09476407888534717,0.6366931619258172,0.9150287986182746,0.006922621689764317,0.10468942355791545,0.014694311543420664,0.008385943987258143,0.001467042046944476,-0.0018991152245447602,0.7700080665206421,0.5324833042941288,0.03709716891587154,0.9899976755517164,0.47443072620258536,-0.0273163639495862,0.018054058265143596,0.018034748762094217,0.6666747291819853,-0.3255226291437229,0.4556296891120852,0.7172830475257954,0.0026601137478740444,0.08458996454570199,0.010742449452700652,0.005366776492110696,-0.0005698248393909817,-0.003005127835978808,0.6837536415191927,0.5110280342415888,0.030954975898905134,0.984727962281479,0.4530773914181837,0.010174859585841137,0.026997810787867293,0.027679153608680736,0.7656504655252033,0.1359944713730285,0.8177566347395491,1.1127745497107537,0.01118512963165459,0.12478888257012892,0.018646173634140676,0.01140511148240559,0.003503908933279934,-0.0007931026131107123,0.8562624915220916,0.5539385743466688,0.04323936193283794,0.9952673888219538,0.495784060986987
