model,scenario,skill,brier,prev,auc,citl,slope,oe,ici,logloss,nb_0.01,nb_0.02,nb_0.05,nb_0.1,sens,spec,ppv,npv,referral,skill_lo,brier_lo,prev_lo,auc_lo,citl_lo,slope_lo,oe_lo,ici_lo,logloss_lo,nb_0.01_lo,nb_0.02_lo,nb_0.05_lo,nb_0.1_lo,sens_lo,spec_lo,ppv_lo,npv_lo,referral_lo,skill_hi,brier_hi,prev_hi,auc_hi,citl_hi,slope_hi,oe_hi,ici_hi,logloss_hi,nb_0.01_hi,nb_0.02_hi,nb_0.05_hi,nb_0.1_hi,sens_hi,spec_hi,ppv_hi,npv_hi,referral_hi
LR-AUG,S0,0.035489154388927635,0.021541878059955423,0.022856951185387477,0.8155885361619593,-0.10383576744051909,1.132930569357253,0.9068476776537395,0.005248873169672995,0.09407768995863494,0.016295379371628477,0.011443388046719509,0.004009877623978677,0.0005975684395184261,0.8131862934059213,0.6925978022046968,0.058273111286721635,0.9937301629410383,0.31896288017902047,0.013808863668742243,0.017367735430058817,0.018034748762094217,0.7692853668323952,-0.2916024345539419,0.9206984390376637,0.7464285346786466,-0.0037911324818287627,0.07903140709050917,0.011428332869516146,0.006927260117137819,0.0005128007229981946,-0.0012848534502680512,0.7395815485482291,0.6614870750776285,0.04547985892665958,0.9908099183961749,0.2880510125838048,0.05716944510911302,0.02571602068985203,0.027679153608680736,0.8618917054915233,0.08393089967290374,1.345162699676842,1.0672668206288325,0.014288878821174751,0.10912397282676072,0.021162425873740807,0.0159595159763012,0.007506954524959159,0.0024799903293049033,0.8867910382636135,0.7237085293317651,0.07106636364678369,0.9966504074859017,0.34987474777423616
LR-AUG,S1,0.011320120162613967,0.022081681619966487,0.022856951185387477,0.7231785320334676,-0.06370985974850957,0.9524308246276944,0.9408109444956403,0.004013938749665739,0.10225935636130266,0.014315481492713507,0.00897423486640092,0.0004640830681934098,-0.0005677180181448908,0.6135357165763946,0.6922600505811919,0.04455748683426672,0.9871096225962838,0.3147295083414271,0.0021664897740927593,0.017594547763080014,0.018034748762094217,0.6746602880198598,-0.26604830184829764,0.7416828030563849,0.7572940432428755,0.001460774128947128,0.0842299004693367,0.010109605057343091,0.005780891487323942,-0.0018574009121132967,-0.0016649978243520192,0.4640271795013,0.6688786008950616,0.035442793159895514,0.980396078879443,0.29098416852915693,0.020473750551135175,0.02656881547685296,0.027679153608680736,0.7716967760470754,0.13862858235127848,1.1631788461990038,1.124327845748405,0.00656710337038435,0.12028881225326862,0.018521357928083924,0.0121675782454779,0.0027855670485001163,0.0005295617880622377,0.7630442536514892,0.7156415002673222,0.05367218050863792,0.9938231663131245,0.33847484815369727
LR-AUG,S2,0.03455645145883124,0.02156270952377745,0.022856951185387477,0.815064526326736,-0.13724768701824236,1.1845961077514202,0.8784337686870084,0.005915610885287683,0.09449749166572229,0.01636756901514854,0.011804902147502412,0.0031638820363954065,0.000469171386102018,0.7967086144745089,0.6769649965717823,0.05454452497992717,0.9930245392876096,0.33386173803370894,0.013962397281499176,0.017367909517652304,0.018034748762094217,0.7709748038937037,-0.33186462429555896,0.9779443094093395,0.7168051051346978,0.0029779064363650927,0.0797749792014387,0.011584151955043316,0.007206113267261478,-0.0001863400317886608,-0.0014156677135730479,0.7029124328255891,0.6466377810023138,0.04069999458962041,0.9897483444508227,0.30365818983731,0.055150505636163305,0.0257575095299026,0.027679153608680736,0.8591542487597683,0.05736925025907427,1.391247906093501,1.040062432239319,0.008853315334210275,0.10922000413000588,0.021150986075253765,0.016403691027743347,0.006514104104579473,0.0023540104857770836,0.8905047961234287,0.7072922121412508,0.06838905537023393,0.9963007341243965,0.36406528623010787
LR-AUG,S3,0.03815377430681255,0.02148236507717415,0.022856951185387477,0.8214913912436792,-0.1415810550371957,1.2965106239110171,0.8744191808127323,0.006148303122909679,0.09397517793541746,0.015824562622113215,0.012193716335911278,0.0038491526299549187,0.001305788882023426,0.8292507847513803,0.6661060902065148,0.05490513347657148,0.9940395488987033,0.34521625770374387,0.01742697907839042,0.017303543990059508,0.018034748762094217,0.7737248216793278,-0.3332199184832289,1.0412627730976283,0.7153127228393139,0.002470982528397811,0.07923062783062114,0.011002683113393447,0.007498636863663051,0.00024289559392247405,-0.0005874918300750494,0.7489719772409754,0.636813388958707,0.04234571104345594,0.9910203107561032,0.316023790581622,0.05888056953523468,0.02566118616428879,0.027679153608680736,0.8692579608080306,0.0500578084088375,1.551758474724406,1.0335256387861507,0.009825623717421548,0.10871972804021378,0.020646442130832984,0.016888795808159506,0.007455409665987364,0.0031990695941219015,0.9095295922617851,0.6953987914543226,0.06746455590968702,0.9970587870413034,0.37440872482586574
LR-AUG,S4,0.03415931410299844,0.02157157939240706,0.022856951185387477,0.8192194157978843,-0.14154554588490004,1.1982803163113518,0.8748619222266149,0.005711265678763267,0.09406253406947904,0.016264997482263486,0.01277237336799424,0.0046393546098447026,0.0013243859731757331,0.7914811182081741,0.6746990783894554,0.053848792227613566,0.9928226011725975,0.33595637960777097,0.010938601932028821,0.017363213190611522,0.018034748762094217,0.7727184494899384,-0.32803510608931313,0.9569786607862292,0.7203867424927842,0.0025167032993808434,0.0790308596351405,0.01150975924716481,0.007983493505394849,0.001054208364584525,-0.0009221952204017574,0.688623531501954,0.6457578184992872,0.04088511297332479,0.9888462008019319,0.3074671455889964,0.05738002627396806,0.025779945594202595,0.027679153608680736,0.8657203821058301,0.04494401431951306,1.4395819718364744,1.0293371019604456,0.00890582805814569,0.10909420850381757,0.02102023571736216,0.01756125323059363,0.00822450085510488,0.0035709671667532236,0.8943387049143943,0.7036403382796237,0.06681247148190234,0.9967990015432631,0.36444561362654554
LR-AUG,S5,0.009539752117623701,0.022121445269594215,0.022856951185387477,0.7033994447767213,-0.11650539711288109,0.9483105064129034,0.8942689368427935,0.005543994835799491,0.10321921079031465,0.01490173160338949,0.0075832981271755865,0.000885451747490172,-0.0006826149663744387,0.6136070340583081,0.6742805857966963,0.04220644268195664,0.9867728613178997,0.33229964747720697,0.0014266122478068435,0.017618982701602143,0.018034748762094217,0.6537172035529497,-0.32389879108271036,0.7392574148367552,0.7149210439776215,-0.0002611980768313666,0.08539885406033838,0.010114874802040104,0.00459029221107237,-0.0014670256672129956,-0.0012227929742545062,0.5157147967067074,0.6528690685288465,0.035226374489694984,0.9815473472110561,0.31034102324684376,0.017652891987440557,0.026623907837586287,0.027679153608680736,0.753081686000493,0.09088799685694819,1.1573635979890515,1.0736168297079656,0.011349187748430349,0.12103956752029092,0.019688588404738878,0.010576304043278802,0.0032379291621933396,-0.00014243695849437124,0.7114992714099088,0.695692103064546,0.0491865108742183,0.9919983754247432,0.3542582717075702
LR-AUG,S6,0.037244518887432965,0.0215026728523109,0.022856951185387477,0.8283266090966236,-0.18436310687379387,1.4250510468776454,0.8392434234058833,0.006996888947711532,0.0939349140839983,0.01615631118220099,0.012182023912267019,0.004502927925527126,0.0007947222144070549,0.9046226732477586,0.6329226465074788,0.0545041602510878,0.996487417900399,0.37936400062610026,0.01581442924809809,0.017291713592019663,0.018034748762094217,0.7810706295206902,-0.37447659505998104,1.1272288195776414,0.6870375818670998,0.0034910375945129105,0.07928043669676996,0.011436950959772362,0.007483310285510698,0.0006987484312931651,-0.0018702666307024575,0.8331515999343195,0.6001905621793737,0.04250026271423798,0.9938996986520813,0.3464114899964783,0.05867460852676784,0.025713632112602136,0.027679153608680736,0.875582588672557,0.0057503813123933045,1.7228732741776493,0.9914492649446668,0.010502740300910154,0.10858939147122665,0.02087567140462962,0.01688073753902334,0.008307107419761086,0.0034597110595165673,0.9760937465611976,0.6656547308355838,0.06650805778793761,0.9990751371487167,0.4123165112557222
LR-AUG,S7,0.033539681568801716,0.021585418582038142,0.022856951185387477,0.8158121782475836,-0.09528132035159664,1.1503090659243045,0.9140021736193615,0.005403105082590938,0.09419104035120368,0.01631875572653742,0.011276844281582644,0.00496779046019526,0.0005661180153985475,0.8050412047820401,0.6896973451995059,0.057214445325929106,0.9934312572735319,0.3216108696869517,0.013545783580290967,0.01735667397260769,0.018034748762094217,0.7716178975516955,-0.28111312236622893,0.9388149112053634,0.7534620981794401,-0.00643318376243018,0.07918205430039331,0.011460792505768508,0.006685558775904169,0.0010918361010088273,-0.0015657539767722746,0.7303157029293539,0.6612228467872109,0.0446726963144146,0.9905255767085516,0.2930973362874388,0.053533579557312465,0.025814163191468596,0.027679153608680736,0.8600064589434716,0.09055048166303564,1.3618032206432455,1.074542249059283,0.017239393927612055,0.10920002640201405,0.021176718947306335,0.01586812978726112,0.008843744819381693,0.0026979900075693695,0.8797667066347263,0.7181718436118009,0.06975619433744361,0.9963369378385122,0.3501244030864646
LR-PS,S0,0.0351258475254288,0.02154999234108295,0.022856951185387477,0.8112755659691839,-0.1255441340205943,1.1980441978760392,0.8880270633270074,0.003110719266466296,0.09471952527170689,0.015922247251099673,0.011887342275415772,0.004245494541351774,0.0010249191692726237,0.8015782294433212,0.6857443895470989,0.056305944353274136,0.9932770848858496,0.3253943197667002,0.014367377056668847,0.01736329373712765,0.018034748762094217,0.7638342317548443,-0.31725406992457406,0.9696469526025032,0.7267398225582054,-0.0020113377329361204,0.07984214537255313,0.011065039430547844,0.007269212722063261,0.0006667576726471416,-0.000987816380707495,0.7238780376476908,0.6533256637149532,0.04385034447665931,0.9901651450680837,0.2931937808811701,0.05588431799418875,0.025736690945038252,0.027679153608680736,0.8587169001835235,0.06616580188338542,1.4264414431495753,1.0493143040958095,0.008232776265868713,0.10959690517086065,0.0207794550716515,0.016505471828768284,0.007824231410056406,0.0030376547192527423,0.8792784212389517,0.7181631153792447,0.06876154422988896,0.9963890247036156,0.3575948586522303
LR-PS,S1,0.010993011896004101,0.022088987423134775,0.022856951185387477,0.7292635294932053,-0.14405441935485463,0.9279594512006234,0.8716387427241816,0.004558034156604418,0.10197761969075382,0.014203776595389865,0.009983043397011265,0.0001608933642145479,-0.0012443209298945261,0.6467553929422037,0.6614550516239726,0.04277574380360997,0.9876620298711875,0.34558969946230306,0.0002673740655477104,0.01762908436707237,0.018034748762094217,0.6775906784522899,-0.3399170863164902,0.711447522228622,0.7079679529686606,-0.0009718606032466919,0.08394348360586297,0.010185599459582802,0.0066510159573877296,-0.0025276115498225854,-0.00226987187421554,0.5242259693555327,0.6372161318901017,0.03618551062293782,0.981586634618041,0.32062492941368764,0.021718649726460492,0.02654889047919718,0.027679153608680736,0.7809363805341206,0.05180824760678096,1.1444713801726247,1.0353095324797028,0.010087928916455527,0.12001175577564467,0.01822195373119693,0.0133150708366348,0.002849398278251681,-0.0002187699855735123,0.7692848165288748,0.6856939713578434,0.04936597698428211,0.9937374251243339,0.37055446951091847
