model,scenario,skill,brier,prev,auc,citl,slope,oe,ici,logloss,nb_0.01,nb_0.02,nb_0.05,nb_0.1,sens,spec,ppv,npv,referral,skill_lo,brier_lo,prev_lo,auc_lo,citl_lo,slope_lo,oe_lo,ici_lo,logloss_lo,nb_0.01_lo,nb_0.02_lo,nb_0.05_lo,nb_0.1_lo,sens_lo,spec_lo,ppv_lo,npv_lo,referral_lo,skill_hi,brier_hi,prev_hi,auc_hi,citl_hi,slope_hi,oe_hi,ici_hi,logloss_hi,nb_0.01_hi,nb_0.02_hi,nb_0.05_hi,nb_0.1_hi,sens_hi,spec_hi,ppv_hi,npv_hi,referral_hi
LRw-AUG,S0,0.02656962909671523,0.02174109129542277,0.022856951185387477,0.7966291228137601,-0.04966088802811718,0.9008552071344839,0.9549554779412399,0.004589750912944326,0.09594516424793105,0.015743409584080843,0.011221288078482675,0.004080545112507178,0.0010487393528206919,0.7018823143992183,0.7445396731596103,0.06038785603676067,0.990720783146703,0.26566417241810547,0.004763985739387612,0.017600080833498746,0.018034748762094217,0.7551805752838421,-0.23669560052223787,0.7666745480235523,0.7890963587736621,0.0008849797458190005,0.08093070030597699,0.011209829589113266,0.006719421605531316,-7.321167936260274e-05,-0.0009927154080263574,0.622122320565321,0.7131068266873232,0.0446187581284625,0.9881748767354455,0.23412145522055572,0.04837527245404285,0.025882101757346794,0.027679153608680736,0.8380776703436781,0.1373738244660035,1.0350358662454153,1.1208145971088177,0.008294522080069651,0.11095962818988511,0.02027698957904842,0.015723154551434033,0.008234301904376958,0.003090194113667741,0.7816423082331156,0.7759725196318975,0.07615695394505884,0.9932666895579605,0.2972068896156552
LRw-AUG,S1,0.002015682186927936,0.022289491691984558,0.022856951185387477,0.7006702130987014,-0.1004624199206454,0.741719004992853,0.9091057117390146,0.007733424968777349,0.10427636617322628,0.01410325216017869,0.008006255819901623,0.00043110121760378973,-0.0012943210038856474,0.524334555557016,0.6997581059366648,0.03924722807660676,0.9843482610167282,0.30536396908809993,-0.01151033110163211,0.017835417141153623,0.018034748762094217,0.6666928888009694,-0.30214042896243154,0.6046994178733154,0.7337830930960386,0.0026296798586915105,0.08649987946820162,0.010056228417492517,0.005210908360496643,-0.0016301335881499074,-0.002477045463407267,0.41149255368726817,0.6778442368761427,0.029380718646013958,0.9792835454371139,0.2824109203185417,0.015541695475487982,0.026743566242815493,0.027679153608680736,0.7346475373964333,0.10121558912114072,0.8787385921123907,1.0844283303819906,0.012837170078863189,0.12205285287825093,0.018150275902864863,0.010801603279306602,0.002492336023357487,-0.00011159654436402743,0.6371765574267639,0.7216719749971868,0.04911373750719956,0.9894129765963425,0.32831701785765816
LRw-AUG,S2,0.028488905091264782,0.021698225204672083,0.022856951185387477,0.7960582383720473,-0.03193360523876287,0.9331755758431856,0.9706706136654444,0.0041812385982160334,0.09587291705766794,0.015923965620502696,0.011327072716791873,0.0034614163218828486,0.0005138026664340701,0.6892669648369754,0.7375167940884497,0.05787043273914825,0.99024074960319,0.2722381814560249,0.009014604217706348,0.01753625814234766,0.018034748762094217,0.7538506137257779,-0.22513316138423026,0.7961743864347941,0.795798756130504,0.0006085056505672932,0.08096233041542193,0.011182374494802147,0.006626552593756771,0.0003450901384760884,-0.0009114914746464803,0.6108782334351262,0.7065817456730324,0.043012962893457254,0.9876599537897879,0.24108072398343094,0.047963205964823216,0.025860192266996505,0.027679153608680736,0.8382658630183166,0.1612659509067045,1.070176765251577,1.1455424712003848,0.007753971545864774,0.11078350369991395,0.020665556746203247,0.016027592839826976,0.006577742505289609,0.0019390968075146205,0.7676556962388246,0.768451842503867,0.07272790258483924,0.9928215454165921,0.30339563892861887
LRw-AUG,S3,0.03298995286229722,0.021597696503862934,0.022856951185387477,0.8118772663562066,0.050575322741293255,1.1390312281553892,1.0490557663790534,0.00629326169193826,0.09472494717310531,0.01632238641991056,0.01288877107839281,0.002984603558086418,0.000440696007257465,0.7424242161512267,0.7432003653039699,0.06334297763658857,0.9919582115082577,0.2678995320487757,0.01786334015146956,0.01737229306431632,0.018034748762094217,0.7705266250882499,-0.14180104948855965,0.9684981247189204,0.8584105347107261,0.0014863438975462832,0.0798288614192284,0.011399020107908255,0.007943726276225567,0.0002764080507359373,-0.00098125620759928,0.6374871410484844,0.7178981812834083,0.04529048826645331,0.9887018320044341,0.24297441622030927,0.04811656557312488,0.025823099943409547,0.027679153608680736,0.8532279076241633,0.24295169497114616,1.309564331591858,1.2397009980473805,0.011100179486330236,0.10962103292698222,0.021245752731912863,0.01783381588056005,0.005692799065436899,0.00186264822211421,0.847361291253969,0.7685025493245315,0.08139546700672383,0.9952145910120813,0.2928246478772421
LRw-AUG,S4,0.023374470648623857,0.021812453596825834,0.022856951185387477,0.80564181687737,-0.20883295729213472,0.9665193939042427,0.8236015703417487,0.006818710186876409,0.09558461107025945,0.01656198274334092,0.01177325685877328,0.0034601087665800546,0.0008204119858010606,0.7456545000431467,0.70287746338294,0.05544826399023689,0.9916064834482267,0.3073746098101761,-0.005261381274539973,0.01764847903731219,0.018034748762094217,0.761414243248851,-0.39494563258345816,0.7946847182503225,0.6802134992247798,-0.00019928770584407788,0.08047412003593037,0.011730793616574788,0.007335799616862082,0.0002084915623515554,-0.0026128641129950785,0.6513587520654908,0.6709581841846721,0.04066936516212054,0.98806873978155,0.27637512488291205,0.052010322571787684,0.02597642815633948,0.027679153608680736,0.849869390505889,-0.02272028200081125,1.1383540695581629,0.9669896414587177,0.013836708079596895,0.11069510210458854,0.02139317187010705,0.016210714100684476,0.006711725970808553,0.004253688084597199,0.8399502480208026,0.7347967425812079,0.07022716281835324,0.9951442271149034,0.3383740947374402
LRw-AUG,S5,0.004965715243315905,0.022223604146331004,0.022856951185387477,0.6907549218317122,-0.07911609169272123,0.7662311712139482,0.9273758554713978,0.0065374342465309414,0.1043220248663765,0.0142784669298903,0.007361864585636915,0.0007095553593137842,-0.000792523345563531,0.5934030295698866,0.7032252764735253,0.04468183886750002,0.9866557105505882,0.3035547422379131,-0.006234696496918452,0.017774843750527125,0.018034748762094217,0.6537757924965241,-0.2882224889990427,0.6230573219796598,0.7409636551745213,0.0036329063053487346,0.0866086705430604,0.009739795452733355,0.00429083904915762,-0.0014764219034010054,-0.0020809430445696566,0.5241296461070617,0.6833254210341497,0.03573487544557565,0.9826252521364358,0.28345990721591247,0.01616612698355026,0.026672364542134883,0.027679153608680736,0.7277340511669003,0.1299903056136002,0.9094050204482367,1.1137880557682742,0.009441962187713149,0.1220353791896926,0.018817138407047247,0.01043289012211621,0.0028955326220285738,0.0004958963534425946,0.6626764130327114,0.7231251319129008,0.053628802289424383,0.9906861689647406,0.3236495772599138
LRw-AUG,S6,0.03448492328388575,0.021564307070585285,0.022856951185387477,0.8277316885487721,-0.09726135179371546,1.293263890386589,0.9118659606344174,0.007685249771894378,0.09384694007528639,0.01631080113296245,0.012554054946573747,0.0036842742406513135,0.0003767829015800953,0.8328839245900445,0.6855205959317922,0.05833748581189544,0.9943299304386817,0.32632855088805973,0.016274842091036044,0.017314279580869583,0.018034748762094217,0.7838518764644617,-0.28815647348412954,1.0732419108122826,0.7464685004615927,0.0046412321993611946,0.07899287672243674,0.011584353128381504,0.007900568798779407,0.00021060072893858703,-0.002187255282624914,0.7431061139346409,0.6571561911709233,0.04540667670917513,0.9911163770713111,0.29758115222024123,0.05269500447673545,0.025814334560300987,0.027679153608680736,0.8716115006330825,0.0936337698966986,1.5132858699608953,1.077263420807242,0.010729267344427562,0.10870100342813604,0.021037249137543394,0.017207541094368086,0.00715794775236404,0.0029408210857851044,0.922661735245448,0.713885000692661,0.07126829491461575,0.9975434838060523,0.35507594955587823
LRw-PS,S0,0.027654427298964834,0.021716862858076672,0.022856951185387477,0.7871365010714514,-0.05751738476110331,0.9489702910174127,0.9475932220321416,0.0036364729420964325,0.09659138571578138,0.01556560235192329,0.011174052432243908,0.004257778541975369,0.0015315516003764568,0.6611773716924544,0.7395171419457431,0.05604663296064595,0.9893963684772609,0.26964151299273775,0.007313975115432091,0.01755566218690462,0.018034748762094217,0.744832117614999,-0.24892895500899354,0.8030693903786605,0.7775534106395917,-0.0004195684365276282,0.08164262246207707,0.010813742793926976,0.006723705645957053,0.0007514472560353255,-0.0005600213855551941,0.581629422243208,0.709482991855403,0.041243416163333824,0.9862272912830431,0.24022303387725438,0.047994879482497574,0.025878063529248724,0.027679153608680736,0.8294408845279038,0.1338941854867869,1.0948711916561649,1.1176330334246913,0.007692514320720493,0.11154014896948569,0.020317461909919607,0.015624399218530762,0.007764109827915413,0.0036231245863081077,0.7407253211417008,0.7695512920360833,0.07084984975795808,0.9925654456714786,0.2990599921082211
LRw-PS,S1,-0.0010785460818876214,0.022358599767191595,0.022856951185387477,0.7022863535761278,-0.09458332746165556,0.6787994488707474,0.9147928394671955,0.008077729849351597,0.10460733125919798,0.014031838878325964,0.00758105277269197,0.00022417967134433572,-0.0020398981073032167,0.562908731814966,0.7141131536451812,0.04402995576007662,0.9858846594393457,0.2922187220680654,-0.01633710873185106,0.017889279375840766,0.018034748762094217,0.6634630700136158,-0.28982112480212824,0.544262073753313,0.7458463286279469,0.0039314441758010335,0.08610449123730837,0.010344050906097272,0.004412290252530798,-0.0017213874176467536,-0.003301127309204688,0.4520829957488822,0.6888403438524939,0.03559728482192164,0.9805285728692643,0.26615958549760765,0.014180016568075816,0.026827920158542424,0.027679153608680736,0.7411096371386398,0.10065446987881714,0.8133368239881817,1.083739350306444,0.01222401552290216,0.12311017128108759,0.017719626850554657,0.010749815292853142,0.002169746760335425,-0.0007786689054017453,0.6737344678810498,0.7393859634378686,0.0524626266982316,0.991240746009427,0.3182778586385231
LRw-PS,S2,0.02801366207439493,0.02170883952504478,0.022856951185387477,0.7951828471961394,-0.0584035409238206,0.8977608708373581,0.947293007810031,0.00448753528478439,0.09585610851289342,0.016072417385319098,0.011580089533738118,0.00343515841798953,0.0008256326995468312,0.6754833698643871,0.740649840091281,0.057425399823334826,0.9898549142657644,0.2688616963752943,0.005923330072611938,0.017611730676276187,0.018034748762094217,0.7530017394029528,-0.25320370544382237,0.7676792595445754,0.7758339253022946,0.0002889882371705727,0.08135171006395933,0.011305826839108548,0.0067744882333082065,0.00019373549577838753,-0.0009569647825112778,0.5872256165828393,0.7122272955639464,0.04114765709628229,0.9871344869356696,0.24056048973211847,0.050103994076177924,0.02580594837381337,0.027679153608680736,0.837363954989326,0.13639662359618118,1.0278424821301408,1.1187520903177675,0.008686082332398207,0.1103605069618275,0.020839007931529648,0.016385690834168028,0.006676581340200672,0.0026082301816049403,0.7637411231459348,0.7690723846186156,0.07370314255038736,0.9925753415958593,0.2971629030184701
