group,level,n,events,LR-AUG_S0_skill,LR-AUG_S0_auc,LR-AUG_S1-5_skill,LR-PS_S0_skill,LR-PS_S0_auc,LR-PS_S1-5_skill
AGEGRP,20-44,2673,50,0.0501831731603094,0.8933268676934735,0.03660399408662633,0.04851155704293264,0.8983528995438312,0.041664400521205326
AGEGRP,45-64,2202,112,0.03878454686485433,0.76435018692535,0.02945157071804618,0.03927253456501212,0.7662856539928761,0.030121037160622244
AGEGRP,65+,1349,66,0.040778822354200606,0.7487162604151503,0.02722841915697165,0.04003544436132478,0.74711248756318,0.028525323252438794
RIAGENDR,2.0,3256,125,0.06029050104966738,0.8326545643782559,0.04354360339488226,0.06044919266522464,0.8348269059525198,0.04543252226331314
RIAGENDR,1.0,2968,103,0.027957841635126046,0.8139637461624268,0.02398142090978985,0.026763329230526267,0.8132952259724608,0.025950001966264048
RIDRETH3,6.0,775,36,0.06576019011222023,0.7676580915418116,0.04358237442344357,0.06403966913910031,0.7671432837873262,0.05022405105263632
RIDRETH3,3.0,2214,42,0.03185610097638436,0.8142349301120241,0.023331199262471715,0.03184752011972636,0.8163750503346787,0.024059014510929465
RIDRETH3,1.0,752,36,0.03790972400689596,0.8162267433948993,0.03367624541798908,0.03626710838764757,0.8121891389656943,0.033229015060052804
RIDRETH3,4.0,1606,78,0.061165380135869696,0.8079456616795957,0.04365610359020842,0.06220534948087619,0.8094562362064068,0.04845825485244857
RIDRETH3,2.0,586,27,,,,,,
RIDRETH3,7.0,291,9,,,,,,
PIRGRP,>3.5,1756,64,0.049488789402049815,0.8366412410729744,0.03618976280403432,0.049739504202247375,0.8420223606117084,0.03768700630400741
PIRGRP,<1.3,1511,53,0.054284293666489014,0.8317427775604134,0.04251955474876392,0.054651460879241,0.8319935614863041,0.04475402970270763
PIRGRP,1.3-3.5,2111,79,0.03875277766171026,0.799780458516358,0.030436722740916487,0.037732904193990446,0.7977648691285919,0.03311439950316701
