learner,method,hp,wlogloss,label
LR,BASE,0.03,0.10277058789137186,
LR,BASE,0.1,0.10005411007234732,
LR,BASE,0.3,0.09939737056860362,
LR,BASE,1.0,0.09944087907604128,
LR,AUG,0.03,0.10309756652403738,
LR,AUG,0.1,0.1016439015970012,
LR,AUG,0.3,0.10122225067290018,
LR,AUG,1.0,0.10140878362877968,
LR,PS-S0,0.03,0.10277058789137182,
LR,PS-S0,0.1,0.10005411007235265,
LR,PS-S0,0.3,0.09939737056917711,
LR,PS-S0,1.0,0.09944087907604583,
LR,PS-S1,0.03,0.10621932986782803,
LR,PS-S1,0.1,0.10464176190502719,
LR,PS-S1,0.3,0.1042179267732273,
LR,PS-S1,1.0,0.10418251146077849,
LR,PS-S2,0.03,0.10291261077309731,
LR,PS-S2,0.1,0.09993317940489772,
LR,PS-S2,0.3,0.09906030970574221,
LR,PS-S2,1.0,0.09873477994917118,
LR,PS-S3,0.03,0.10460586185980046,
LR,PS-S3,0.1,0.1012596614911191,
LR,PS-S3,0.3,0.10022856671157576,
LR,PS-S3,1.0,0.10014303984033243,
LR,PS-S4,0.03,0.10307139480541111,
LR,PS-S4,0.1,0.10020357381566884,
LR,PS-S4,0.3,0.09941420516145028,
LR,PS-S4,1.0,0.09929660704220498,
LR,PS-S5,0.03,0.10647836778157903,
LR,PS-S5,0.1,0.10480203879201581,
LR,PS-S5,0.3,0.10420263896200851,
LR,PS-S5,1.0,0.10392316379086212,
LR,PS-S6,0.03,0.10491298264623851,
LR,PS-S6,0.1,0.1013316662501243,
LR,PS-S6,0.3,0.10012697168878475,
LR,PS-S6,1.0,0.09997171556442282,
LGB,BASE,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.05}",0.10387332105684419,
LGB,BASE,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.1}",0.11036921836509189,
LGB,BASE,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.05}",0.10510421395169162,
LGB,BASE,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.1}",0.11023714010395419,
LGB,BASE,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.05}",0.1110450759007961,
LGB,BASE,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.1}",0.12619985852393564,
LGB,BASE,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.05}",0.11280984518958106,
