t,LR57-AUG S0,LR57-AUG S1,Bang ≥4,Xét nghiệm tất cả
0.05,0.2300465596043939,0.22799252488104302,0.18661190018604057,0.2283784826790433
0.06,0.22271454768306215,0.220803749824551,0.1833331319223825,0.22016974313307566
0.07,0.21685984683640852,0.2142066957237913,0.17998385251326937,0.2117844715538614
0.08,0.21132583826478255,0.20859224576611585,0.17656176268221904,0.20321691146205556
0.09,0.20512925512918448,0.20205020877827548,0.1730644620856511,0.19446105334625396
0.1,0.1996450699241255,0.1939067504818445,0.16948944369804833,0.18551062060565682
0.11,0.19407221019070872,0.18899784153040805,0.16583408781858933,0.1763590545450462
0.12,0.18936233241912767,0.18315109870448207,0.16209565566914258,0.16699949834669445
0.13,0.1844221901110644,0.17846773495320326,0.15827128255074308,0.1574247799368863
0.14,0.17905765783382427,0.1725115259636954,0.15435797052261332,0.14762739365708266
0.15,0.17450331850739917,0.16776180157635834,0.15035258056440995,0.13759948064128366
0.16,0.16798540172149604,0.16159902284062838,0.14625182417863028,0.1273328077917751
0.17,0.1616008736840097,0.15606955585716464,0.14205225438596436,0.11681874523504951
0.18,0.15570125534167925,0.1492874203925977,0.13775025606177005,0.10604824212815989
0.19,0.15065572570870087,0.14428962133074463,0.13334203555673138,0.09501180067295198
0.2,0.14695611433144307,0.13955070994703203,0.12882360953906674,0.0836994481813639
0.21,0.14105887187397492,0.1340950623689029,0.12419079298930936,0.07210070701910265
0.22,0.13466624190993046,0.1308891469788097,0.11943918627160947,0.06020456223729631
0.23,0.12954688483578988,0.123540747781993,0.11456416119760568,0.04799942668193649
0.24,0.12349746421635056,0.1186593205541205,0.10956084599007548,0.0354731033488041
0.25,0.12066905654180671,0.1119103184708296,0.10442410904367781,0.02261274472678812
0.26,0.1176653480399856,0.10585881008937566,0.09914854136899912,0.009404808844717671
0.27,0.11369840241231662,0.09960550252438005,0.0937284375936443,-0.004164988294395822
0.28,0.10939975529404705,0.0943734147363704,0.08815777538008515,-0.01811172424292906
0.29,0.1033315168601302,0.08744074243469264,0.08243019310417227,-0.03245132599282946
0.3,0.09884463416600653,0.08019013654250214,0.07653896562037615,-0.0472006306498699
0.31,0.09263384412875494,0.07699420832246792,0.0704769779196584,-0.062377451383925975
0.32,0.08783284872484602,0.07267890225394026,0.06423669646303717,-0.0780006491983955
0.33,0.08300168052724723,0.06807689348424018,0.05781013794800935,-0.09409021112672977
0.34,0.07769484498244979,0.06187390014434491,0.051188835235556424,-0.11066733553774089
0.35,0.0733174269193722,0.056664968966336285,0.04436380013195118,-0.1277545253152445
0.36,0.06947901106841836,0.05320598730690897,0.03732548268135821,-0.14537568977329518
0.37,0.06781121630561109,0.049115994439970764,0.03006372658154005,-0.16355625627763315
0.38,0.06322607016386235,0.04638032546452005,0.022567720284953602,-0.182323292669208
0.39,0.05867091985269286,0.04087141307068104,0.014825943290118382,-0.2017056417293589
0.4,0.05294678868469892,0.038359393775324546,0.006826107062122,-0.22173406909151488
0.41,0.04758678480676619,0.03508610090762991,-0.00144491005495892,-0.24244142619476072
0.42,0.04249146328171988,0.03029214002561978,-0.010001134658835842,-0.2638628300946705
0.43,0.03979122065121571,0.027943190518348968,-0.018857577669866288,-0.2860358622015945
0.44,0.03266049088291327,0.023688410726894427,-0.02803032221700502,-0.30900078831233724
0.45,0.030931920547585312,0.021379293698007534,-0.037536621111312424,-0.332800802645289
0.46,0.028205964698538394,0.01730235585923255,-0.0473950051498534,-0.35748229899057204
0.47,0.026096047101206415,0.014091526493075213,-0.0576254036804148,-0.3830951725564319
0.48,0.024306268496345346,0.010335813375125485,-0.06824927907753625,-0.4096931566440556
0.49,0.022877348800385097,0.01199753345261273,-0.07928977703925072,-0.43733419893119396
0.5,0.02283229988726805,0.007401419188616656,-0.09077189491943377,-0.46608088290981786
0.51,0.020194149366645292,0.004290791660859515,-0.10272267067227736,-0.49600090092838556
0.52,0.018464148232763405,0.004352349612064335,-0.11517139541482274,-0.5271675863643936
0.53,0.016214874837031913,0.004854738330072973,-0.12814985312513605,-0.5596605137338488
0.54,0.013410032866181483,0.004313207570271024,-0.14169259160546288,-0.5935661770758892
0.55,0.01271266377014274,0.0033548354146574894,-0.15583722957380436,-0.6289787587886867
0.56,0.007523489297456262,0.0014238194654617523,-0.17062480563161586,-0.6660010033066114
0.57,0.003659146338408581,-0.001190736944862554,-0.18610017592467426,-0.7047452126858345
0.58,0.0014057502357146257,-0.0028763273577890464,-0.20231246861264035,-0.7453343844164498
0.59,-0.001329593722469366,-0.0015063526618245733,-0.21931560484636087,-0.7879035157436801
0.6,-0.001505648927992695,-0.0034289600998971964,-0.23716889789176743,-0.8326011036372724
0.61,-0.005356971755818736,-0.003352464332523321,-0.255937744426682,-0.8795908755254075
0.62,-0.004618001093401318,-0.005283506134299138,-0.27569442498975,-0.9290537933023918
0.63,-0.004740535392396217,-0.005662555218752283,-0.2965190342319028,-0.9811903823105649
0.64,-0.00403342759400193,-0.007910214642866367,-0.31850056620973066,-1.0362234484858583
0.65,-0.0009879643770238124,-0.008822763562978689,-0.3417381857291487,-1.09440126129974
0.66,-0.002081875910139131,-0.011581514826168197,-0.3663427240438266,-1.156001298396791
0.67,-0.004435877146603918,-0.01269216833622715,-0.3924384464987881,-1.221334671075482
0.68,-0.007605397372419626,-0.012044601207224654,-0.4201651516071847,-1.2907513795465908
0.69,-0.007149704821537595,-0.011709234896648739,-0.44968067639999365,-1.3646465853384155
0.7,-0.006372282425840417,-0.010689146017185682,-0.4811639028456568,-1.4434681381830297
